-64,-56,-61,-66,-71,-82,-81,1
-36,-54,-57,-34,-60,-69,-75,2
-59,-51,-57,-59,-52,-87,-86,4
-59,-56,-50,-60,-52,-81,-85,4
-68,-57,-67,-68,-75,-83,-83,1
-37,-58,-56,-38,-63,-75,-74,2
-64,-64,-58,-75,-68,-82,-80,1
-48,-54,-49,-59,-63,-78,-80,3
-49,-52,-56,-48,-55,-81,-82,3
-50,-55,-58,-43,-73,-75,-80,2
-61,-55,-56,-66,-73,-79,-80,1
-50,-58,-51,-52,-60,-81,-79,3
-62,-54,-48,-62,-48,-86,-86,4
-60,-55,-42,-63,-53,-91,-79,4
-62,-54,-60,-61,-70,-79,-81,1
-41,-58,-58,-42,-64,-79,-80,2
-61,-55,-45,-57,-53,-91,-82,4
-63,-57,-57,-62,-51,-89,-84,4
-59,-55,-62,-64,-68,-77,-86,1
-59,-53,-57,-60,-51,-89,-95,4
-57,-54,-49,-61,-43,-79,-85,4
-55,-54,-43,-60,-51,-84,-88,4
-42,-53,-53,-42,-63,-72,-72,2
-37,-59,-57,-36,-64,-66,-70,2
-35,-54,-55,-40,-61,-79,-73,2
-56,-51,-43,-59,-47,-83,-89,4
-67,-59,-62,-66,-80,-96,-82,1
-39,-53,-56,-48,-66,-69,-72,2
-41,-53,-56,-36,-62,-75,-77,2
-51,-53,-56,-56,-64,-77,-88,3
-59,-51,-58,-57,-64,-76,-85,1
-70,-62,-68,-65,-81,-89,-83,1
-63,-58,-62,-65,-68,-81,-74,1
-47,-56,-57,-52,-62,-79,-87,3
-40,-56,-53,-50,-71,-79,-78,2
-59,-51,-57,-59,-53,-87,-92,4
-51,-53,-49,-51,-65,-77,-89,3
-63,-58,-50,-57,-46,-91,-93,4
-51,-52,-50,-56,-67,-79,-91,3
-66,-57,-56,-64,-49,-89,-87,4
-38,-52,-59,-48,-67,-64,-75,2
-52,-64,-54,-54,-68,-85,-79,3
-61,-56,-52,-62,-52,-82,-87,4
-37,-54,-55,-42,-63,-71,-78,2
-41,-55,-54,-40,-62,-71,-72,2
-17,-66,-61,-37,-68,-75,-77,2
-55,-53,-57,-67,-64,-80,-78,1
-57,-61,-53,-59,-52,-87,-89,4
-64,-57,-56,-63,-68,-85,-81,1
-48,-60,-57,-52,-61,-85,-84,3
-67,-57,-64,-71,-75,-89,-87,1
-46,-57,-55,-44,-65,-86,-77,2
-51,-52,-48,-48,-62,-85,-78,3
-51,-53,-50,-51,-66,-77,-88,3
-64,-59,-45,-65,-51,-93,-92,4
-74,-62,-66,-70,-76,-89,-87,1
-61,-58,-64,-61,-64,-78,-82,1
-63,-52,-56,-59,-66,-80,-80,1
-51,-55,-53,-50,-63,-79,-86,3
-57,-54,-57,-61,-62,-80,-79,1
-27,-59,-56,-38,-62,-75,-79,2
-52,-50,-53,-54,-68,-76,-85,3
-68,-63,-68,-64,-74,-86,-84,1
-49,-53,-50,-55,-64,-79,-86,3
-70,-59,-56,-64,-46,-88,-95,4
-42,-61,-63,-44,-74,-76,-75,2
-49,-54,-55,-49,-63,-81,-87,3
-41,-52,-55,-40,-62,-76,-64,2
-64,-57,-53,-61,-50,-86,-98,4
-61,-54,-48,-64,-49,-89,-81,4
-61,-56,-64,-61,-72,-83,-86,1
-61,-62,-54,-69,-46,-93,-98,4
-55,-56,-58,-53,-70,-81,-88,3
-40,-59,-67,-50,-68,-79,-78,2
-59,-56,-41,-54,-46,-89,-88,4
-68,-55,-67,-70,-76,-82,-81,1
-34,-60,-52,-37,-71,-66,-75,2
-40,-53,-51,-37,-78,-73,-77,2
-59,-57,-56,-65,-49,-91,-86,4
-52,-56,-50,-56,-69,-79,-78,3
-44,-52,-56,-47,-63,-71,-75,2
-60,-58,-57,-65,-69,-80,-89,1
-39,-58,-54,-39,-62,-71,-77,2
-51,-52,-52,-56,-68,-79,-87,3
-63,-57,-65,-69,-77,-81,-85,1
-65,-57,-54,-70,-50,-88,-85,4
-46,-51,-51,-36,-67,-73,-76,2
-60,-56,-62,-61,-69,-82,-81,1
-49,-52,-58,-46,-57,-77,-77,3
-60,-50,-57,-60,-50,-89,-86,4
-37,-56,-57,-39,-61,-72,-74,2
-58,-55,-59,-58,-72,-77,-81,1
-65,-60,-67,-66,-68,-84,-89,1
-55,-56,-47,-54,-49,-81,-79,4
-48,-55,-51,-55,-69,-88,-80,3
-46,-60,-54,-50,-62,-79,-74,3
-49,-61,-55,-49,-62,-84,-89,3
-59,-51,-64,-57,-69,-80,-80,1
-50,-53,-53,-55,-67,-78,-89,3
-37,-56,-55,-38,-71,-75,-78,2
-59,-54,-58,-59,-63,-81,-80,1
-63,-52,-61,-64,-75,-80,-83,1
-36,-54,-56,-16,-61,-64,-79,2
-51,-53,-55,-50,-67,-76,-88,3
-44,-58,-58,-41,-75,-70,-64,2
-16,-58,-58,-13,-68,-76,-90,2
-58,-52,-64,-64,-66,-88,-83,1
-58,-61,-52,-61,-53,-85,-88,4
-37,-61,-61,-37,-71,-68,-73,2
-63,-58,-65,-66,-73,-86,-89,1
-71,-64,-64,-70,-78,-88,-94,1
-62,-58,-49,-64,-42,-86,-89,4
-59,-57,-53,-61,-63,-79,-87,1
-40,-63,-64,-50,-64,-75,-78,2
-42,-55,-57,-44,-69,-73,-77,2
-60,-57,-55,-65,-51,-94,-86,4
-51,-62,-53,-51,-64,-86,-79,3
-59,-59,-49,-62,-47,-82,-81,4
-51,-57,-51,-51,-65,-80,-80,3
-37,-51,-54,-43,-60,-69,-70,2
-39,-54,-55,-37,-64,-70,-70,2
-60,-57,-52,-59,-47,-88,-85,4
-65,-55,-55,-67,-63,-82,-89,1
-17,-53,-57,-17,-70,-77,-73,2
-58,-52,-50,-55,-48,-87,-90,4
-62,-58,-57,-65,-68,-83,-79,1
-60,-58,-57,-59,-66,-82,-83,1
-61,-54,-45,-66,-45,-88,-87,4
-64,-55,-52,-74,-53,-89,-80,4
-48,-47,-52,-56,-61,-77,-77,3
-65,-57,-55,-64,-50,-92,-85,4
-65,-59,-61,-67,-72,-86,-81,1
-64,-55,-55,-58,-51,-89,-88,4
-68,-55,-66,-68,-75,-82,-83,1
-51,-56,-51,-55,-62,-85,-83,3
-45,-58,-58,-40,-70,-86,-80,2
-58,-54,-53,-64,-51,-87,-91,4
-35,-53,-62,-35,-68,-70,-69,2
-45,-50,-52,-53,-61,-75,-79,3
-35,-60,-54,-35,-61,-81,-80,2
-58,-52,-57,-60,-52,-86,-88,4
-34,-55,-58,-15,-65,-73,-72,2
-62,-60,-61,-66,-69,-80,-86,1
-34,-54,-61,-34,-70,-72,-73,2
-57,-58,-52,-66,-46,-86,-90,4
-63,-53,-52,-64,-47,-93,-86,4
-53,-58,-51,-51,-62,-84,-85,3
-61,-55,-52,-61,-44,-88,-92,4
-46,-55,-54,-45,-62,-76,-73,2
-39,-56,-53,-46,-57,-73,-77,2
-51,-60,-52,-52,-67,-79,-91,3
-58,-49,-50,-61,-51,-83,-87,4
-58,-49,-55,-60,-70,-78,-80,1
-39,-54,-55,-37,-71,-64,-67,2
-41,-57,-59,-44,-65,-76,-77,2
-49,-50,-55,-49,-54,-85,-76,3
-44,-60,-52,-49,-63,-84,-84,3
-57,-54,-59,-63,-65,-80,-80,1
-60,-56,-56,-63,-65,-80,-83,1
-40,-55,-53,-35,-64,-70,-82,2
-59,-52,-56,-59,-51,-89,-84,4
-58,-57,-49,-64,-49,-89,-81,4
-59,-54,-59,-64,-74,-80,-81,1
-47,-55,-58,-50,-60,-81,-84,3
-60,-55,-58,-57,-75,-74,-82,1
-70,-64,-66,-73,-78,-87,-94,1
-60,-53,-52,-64,-46,-85,-83,4
-48,-53,-56,-37,-59,-75,-83,2
-39,-51,-64,-38,-71,-78,-78,2
-53,-53,-51,-50,-66,-82,-82,3
-38,-56,-55,-39,-75,-71,-75,2
-56,-55,-54,-61,-46,-79,-79,4
-35,-59,-57,-27,-61,-71,-76,2
-59,-56,-61,-66,-71,-83,-82,1
-58,-54,-59,-62,-68,-79,-87,1
-61,-58,-60,-61,-74,-78,-83,1
-41,-57,-64,-42,-74,-69,-70,2
-56,-55,-59,-68,-74,-84,-79,1
-45,-56,-57,-47,-61,-76,-78,3
-56,-48,-43,-62,-43,-83,-82,4
-38,-52,-54,-38,-64,-73,-77,2
-61,-54,-56,-59,-68,-82,-83,1
-66,-57,-61,-61,-73,-81,-90,1
-44,-55,-61,-41,-66,-72,-68,2
-56,-52,-50,-58,-57,-85,-88,3
-48,-57,-54,-47,-66,-79,-79,3
-64,-60,-44,-66,-52,-91,-92,4
-61,-56,-53,-62,-63,-84,-91,1
-40,-58,-52,-41,-66,-63,-75,2
-61,-54,-50,-63,-42,-92,-93,4
-51,-52,-51,-51,-64,-79,-89,3
-46,-53,-51,-49,-68,-79,-85,3
-59,-58,-62,-67,-65,-80,-83,1
-59,-52,-49,-55,-56,-83,-81,4
-62,-57,-59,-72,-73,-86,-82,1
-66,-55,-63,-65,-68,-85,-90,1
-63,-57,-55,-60,-50,-86,-92,4
-62,-57,-44,-61,-44,-89,-87,4
-38,-51,-53,-38,-63,-72,-73,2
-62,-62,-55,-64,-42,-86,-92,4
-65,-57,-56,-63,-48,-92,-85,4
